구별,소계,최근 증가율,인구수,한국인,외국인,고령자,외국인 비율,고령자 비율,cctv비율,오차
강남구,3238,150.61919504643964,546875,541854,5021,68104,0.9181257142857143,12.453302857142857,0.5920914285714286,1571.2205479196296
강동구,1010,166.49076517150397,429601,425267,4334,59742,1.0088430892851739,13.90639221044644,0.23510187359899068,534.006667189172
강북구,831,125.20325203252031,321151,317386,3765,58858,1.1723457189920006,18.32720433690071,0.2587567841918599,599.4716251385007
강서구,911,134.7938144329897,602886,596287,6599,80903,1.0945684590453253,13.419286564955895,0.1511065110153495,814.4167157069278
관악구,2109,149.29078014184398,520645,502615,18030,73005,3.46301222522064,14.02203036618041,0.40507447493013476,469.6804294594094
광진구,878,53.22862129144852,370658,354873,15785,46288,4.25864273804963,12.488061771228463,0.23687604206573176,604.2999269070815
구로구,1884,64.97373029772329,438889,404726,34163,63017,7.783972712918301,14.358300162455656,0.4292657141099458,330.2698337737911
금천구,1348,100.0,254244,233981,20263,36301,7.969902927896038,14.27801639370054,0.5301993360708611,12.427466000794084
노원구,1566,188.929889298893,545486,541174,4312,78170,0.7904877485398343,14.330340283710305,0.28708344485468007,99.32532415590413
도봉구,825,246.6386554621849,340089,337820,2269,56742,0.6671782974456687,16.684456127660702,0.2425835590095534,625.2975967969203
동대문구,1870,74.76635514018692,363262,346750,16512,57570,4.54547957121857,15.848065583518231,0.5147799659749712,395.44285936315146
동작구,1302,139.33823529411765,412031,398886,13145,60462,3.1902939341942718,14.67413859636775,0.31599564110467415,223.61283879977327
마포구,980,212.1019108280255,386571,375106,11465,51293,2.9658199916703527,13.2687138973177,0.2535109979796726,518.9590612929951
서대문구,1254,48.5781990521327,324604,311771,12833,51085,3.953432490049414,15.737637244149793,0.38631686608914245,180.08653062675285
서초구,2297,63.37126600284495,437007,432762,4245,55366,0.9713803211390206,12.669362275661488,0.525620871061562,745.2400776570494
성동구,1327,81.78082191780823,314608,306404,8204,43076,2.6076895692417232,13.691959517876215,0.42179474139246304,96.6218346346966
성북구,1651,63.62735381565907,450021,438245,11776,68612,2.6167667731061437,15.24639961246253,0.3668717682063726,85.61587261096884
송파구,1081,104.34782608695652,685361,678521,6840,83492,0.9980141852250127,12.182193034036077,0.15772709564740334,730.7588327482292
양천구,2482,34.67173087357569,466622,462599,4023,58930,0.8621539490208349,12.629065924881381,0.5319080540566026,899.2364790371266
영등포구,1277,157.97979797979798,404556,368824,35732,56463,8.83239897566715,13.956782250170557,0.31565469304620375,240.78734834953116
용산구,2096,53.216374269005854,245139,229168,15971,38049,6.515079199964102,15.521398063955552,0.8550251082039169,745.1044524673605
은평구,2108,85.23725834797891,488713,484274,4439,78406,0.9083040557546045,16.043362873506535,0.4313370014712111,502.10966839681873
종로구,1619,248.92241379310346,162913,152778,10135,26981,6.221111881801943,16.561600363384137,0.9937819572409814,354.1858943083796
중구,1023,147.6997578692494,135836,125942,9894,22421,7.283783385847639,16.50593362584293,0.7531140492947378,213.46750971553888
중랑구,916,79.96070726915521,407211,402203,5008,62789,1.229829253139036,15.419278948751383,0.22494480748309845,604.5668369308546
